estado,municipio,cve_mun,cve_estado,cve_inegi,pbo_total,hombres,mujeres,lengua_indigena,asis_escuela,mean_escolaridad,analfabetismo
CHIHUAHUA,BALLEZA,007,08,08007,"17,672","8,980","8,692","7,369","4,272",4.8,72.3
CHIHUAHUA,BATOPILAS,008,08,08008,"14,362","7,297","7,065","6,032","2,798",3.8,61.4
CHIHUAHUA,BOCOYNA,009,08,08009,"28,766","14,147","14,619","5,532","8,118",6.6,84.7
CHIHUAHUA,CARICHI,012,08,08012,"8,795","4,403","4,392","3,990","1,430",3.9,60.6
CHIHUAHUA,CHINIPAS,020,08,08020,"8,441","4,448","3,993",945,"2,233",6.1,84.9
CHIHUAHUA,GOMEZ FARIAS,025,08,08025,"8,624","4,295","4,329",27,"2,023",7.3,95.7
CHIHUAHUA,GUACHOCHI,027,08,08027,"49,689","24,624","25,065","26,404","12,996",5.5,73.8
CHIHUAHUA,GUADALUPE Y CALVO,029,08,08029,"53,499","27,053","26,446","13,584","14,031",5.1,78
CHIHUAHUA,GUAZAPARES ,030,08,08030,"8,998","4,600","4,398","2,451","2,210",5.3,78.9
CHIHUAHUA,GUERRERO,031,08,08031,"39,626","19,912","19,714",989,"9,863",6.8,93.6
CHIHUAHUA,MADERA,040,08,08040,"29,611","14,969","14,642",263,"7,535",6.9,93.8
CHIHUAHUA,MAGUARICHI,041,08,08041,"1,921",994,927,419,459,5,79.9
CHIHUAHUA,MATACHI,043,08,08043,"3,104","1,578","1,526",24,714,6.6,95.4
CHIHUAHUA,MORELOS ,046,08,08046,"8,343","4,285","4,058","1,732","2,036",5.1,77.9
CHIHUAHUA,MORIS,047,08,08047,"5,312","2,775","2,537",119,"1,186",5.5,87.7
CHIHUAHUA,NONOAVA,049,08,08049,"2,849","1,479","1,370",319,663,5.6,83.8
CHIHUAHUA,OCAMPO,051,08,08051,"7,546","3,935","3,611",52,"1,760",6,90.7
CHIHUAHUA,TEMOSACHIC,063,08,08063,"6,211","3,216","2,995",171,"1,356",5.8,91
CHIHUAHUA,URIQUE,065,08,08065,"20,386","10,342","10,044","8,603","5,212",4.9,69.5
CHIHUAHUA,URUACHI,066,08,08066,"8,200","4,150","4,050","1,534","1,920",5.1,78.9
