estado,municipio,cve_inegi,extension_territorial,pob_total,hombres,mujeres,habla_indigena,natalidad_fecundidad,mortalidad
CHIHUAHUA,BALLEZA,08007,"7,073.60 km2","17,672","8,980","8,692","7,369",416,136
CHIHUAHUA,BATOPILAS,08008,"2,064,6 km2","14,362","7,297","7,065","6,032",492,105
CHIHUAHUA,BOCOYNA,08009,"2,801.80 km2","28,766","14,147","14,619","5,532",590,290
CHIHUAHUA,CARICHI,08012,"2,782.00 km2","8,795","4,403","4,392","3,990",342,85
CHIHUAHUA,CHINIPAS,08020,"2,278.90 km2","8,441","4,448","3,993",945,104,26
CHIHUAHUA,GOMEZ FARIAS,08025,986.60 km2,"8,624","4,295","4,329",27,89,65
CHIHUAHUA,GUACHOCHI,08027,"4,340.35 km2","49,689","24,624","25,065","26,404",859,433
CHIHUAHUA,GUADALUPE Y CALVO,08029,"9,165.10 km2","53,499","27,053","26,446","13,584","1,457",418
CHIHUAHUA,GUAZAPARES ,08030,"2,145.80 km2","8,998","4,600","4,398","2,451",272,67
CHIHUAHUA,GUERRERO,08031,"5,603.60 km2","39,626","19,912","19,714",989,634,359
CHIHUAHUA,MADERA,08040,"8,158.80 km2","29,611","14,969","14,642",263,532,207
CHIHUAHUA,MAGUARICHI,08041,937.20 km2,"1,921",994,927,419,28,10
CHIHUAHUA,MATACHI,08043,892.80 km2,"3,104","1,578","1,526",24,53,31
CHIHUAHUA,MORELOS ,08046,"1,336.80 km2","8,343","4,285","4,058","1,732",132,43
CHIHUAHUA,MORIS,08047,"2,219.70 km2","5,312","2,775","2,537",119,98,44
CHIHUAHUA,NONOAVA,08049,212 km2,"2,849","1,479","1,370",319,48,19
CHIHUAHUA,OCAMPO,08051,"2,037.23 km2","7,546","3,935","3,611",52,212,56
CHIHUAHUA,TEMOSACHIC,08063,5361.90 km2,"6,211","3,216","2,995",171,91,65
CHIHUAHUA,URIQUE,08065,"3,968.60 km2","20,386","10,342","10,044","8,603",468,207
CHIHUAHUA,URUACHI,08066,"3,058.31 km2","8,200","4,150","4,050","1,534",70,60
